Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder	tle_name	tle
AAUSAT-4	ACTIVE	41460	.	.	437.425	GFSK	OZ4CUB	latest report	details	YES		AAUSAT-4	"1 41460U 16025E   19191.48712023  .00000451  00000-0  27240-4 0  9996
2 41460  98.0936 280.3824 0156108 277.7339  80.6174 15.07361010175955"
e-st@r-II	ACTIVE	41459	.	437.485	437.485	1k2 AFSK CW	ESTAR-2	latest report	details	YES		E-ST@R-II	"1 41459U 16025D   19191.47215098 -.00000335  00000-0 -12177-4 0  9999
2 41459  98.1011 279.0724 0166294 285.3200  72.9741 15.05467799175820"
ChubuSat-2	ACTIVE	41338	145.815	437.100	437.100	"9k6 FSK, CW"	JJ2YPN	latest report	details	YES		CHUBUSAT 2	"1 41338U 16012B   19191.51604182  .00000245  00000-0  12311-4 0  9990
2 41338  31.0042   6.0737 0013944 318.7914  41.1669 15.00156921186190"
ChubuSat-3	ACTIVE	41339	145.840	437.425	437.425	"9k6 FSK, CW"	JJ2YPO	latest report	details	YES		CHUBUSAT 3	"1 41339U 16012C   19191.74910139  .00000219  00000-0  10274-4 0  9995
2 41339  31.0118   2.6595 0013816 329.1001  30.8822 15.00332317186225"
PolyITAN-2-SAU	ACTIVE	42732	.	.	436.600	9k6 BFSK	QBUA01	latest report	details	NO		POLYITAN-2-SAU	"1 42732U 98067MM  19035.84948260  .08466551  12392-4  69401-3 0  9996
2 42732  51.6102 222.7661 0006965 282.1368 217.9093 16.38912453 97286"
BisonSat	ACTIVE	40968	.	.	437.375	"9k6 FSK, FM"	.	latest report	details	YES		BISONSAT	"1 40968U 15058E   19191.35730135 +.00000031 +00000+0 +21761-4 0  7446
2 40968  64.7772  87.9159 0194609 195.6488 163.8556 14.77010022111013"
TW-1A (Shangkeda-2)	ACTIVE	40928	.	.	435.645	4k8/9k6 GMSK	.	latest report	details	YES		TIANWANG 1A (TW-1A)	"1 40928U 15051D   19191.44744674  .00002157  00000-0  54469-4 0  9993
2 40928  97.1436 222.2697 0011068   3.9853 103.3217 15.40857953212525"
TW-1B (NJUST-1)	ACTIVE	40927	.	.	437.645	4k8/9k6 GMSK	.	latest report	details	YES		TIANWANG 1B (TW-1B)	"1 40927U 15051C   19191.82015118  .00007462  00000-0  11499-3 0  9997
2 40927  97.1367 237.2938 0006536 310.2252 138.3181 15.54445072213453"
TW-1C (NJFA-1)	ACTIVE	40926	.	.	435.645	4k8/9k6 GMSK	.	latest report	details	YES		TIANWANG 1C (TW-1C)	"1 40926U 15051B   19191.83447935  .00008481  00000-0  12310-3 0  9998
2 40926  97.1333 237.9821 0006149 294.1201 127.7036 15.56045256213607"
IO-86 (LAPAN-A2/ORARI)	ACTIVE	40931	435.880 145.825.	145.880	437.425	FM transponder APRS digipeater.	.	latest report	details	YES		LAPAN A2 (IO-86)	"1 40931U 15052B   19190.82778310  .00000604  00000-0 -50428-5 0  9991
2 40931   5.9983 265.8246 0013329  92.9756 267.2386 14.76608772204392"
LilacSat-2	ACTIVE	40908	144.350	437.200	437.225	9k6 RRC-BPSK 4k8 GFSK	BJ1SI	latest report	details	YES		LILACSAT 2	"1 40908U 15049K   19191.40986921  .00000420  00000-0  26776-4 0  9998
2 40908  97.4785 191.6355 0017156 124.2389 342.5276 15.13808620210097"
DX-1	ACTIVE	40071	.	.	438.225	9k6 FSK	.	latest report	details	NO		DX 1	"1 40071U 14037C   19191.44099728  .00000015  00000-0  94020-5 0  9997
2 40071  98.4294 346.4368 0008970 149.3046 210.8699 14.81274479270477"
