Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder
CO-58 (XI-V)	ACTIVE	28895	.	437.345	437.465	1k2 AFSK,CW	JQ1YGW	latest report	details	YES	
CUTE1.7+APDII	ACTIVE	32785	.	437.475	437.275	1k2 AFSK,CW	JQ1YTC	latest report	details	YES	
AAUSAT-II	ACTIVE	32788	.	437.432	437.432	1k2 FFSK/MSK	OZ2CUB	latest report	details	YES	
CO-66 (SEEDS-II)	ACTIVE	32791	.	437.485	437.485	1k2 FM, CW, Talker	JQ1YGU	latest report	details	YES	
PRISM (HITOMI)	ACTIVE	33493	.	437.425	437.250	AFSK, GMSK, CW	JQ1YCX	latest report	details	YES	
SwissCube-1	ACTIVE	35932	.	437.505	437.505	1k2 AFSK (LSB),CW	HB9EG/1	latest report	details	YES	
BEESAT-4	ACTIVE	35933	.	436.000	436.000	9k6/4k8 GMSK	DP0BEE	latest report	details	YES	
GOMX-1	ACTIVE	39430	.	.	437.255	2k4/4k8* GMSK CW	.	latest report	details	YES	
ITUpSat-1	ACTIVE	35935	.	437.325	437.325	19k2 GFSK,CW		latest report	details	YES	
AENEAS	ACTIVE	38760	.	437.600	437.600	1k2 AFSK	KE6YFA-1	latest report	details	YES	
STRaND-1	ACTIVE	39090	.	437.568	437.568	9k6 FSK (non AX.25)		latest report	details	YES	
BEESAT-2	ACTIVE	39136	.	435.950	435.950	4k8 GMSK	DP0BEF	latest report	details	YES	
SOMP	ACTIVE	39134	.	437.504	437.504	CW, 1k2 FSK	DP0TUD	latest report	details	YES	
CubeBug-1	ACTIVE	39153	.	437.438	437.438	1k2 AFSK	CUBEB1	latest report	details	YES	
ZACube-1	ACTIVE	39417	.	.	437.345	CW, 1k2 AFSK	.	latest report	details	YES	
LO-74 (CubeBug-2)	ACTIVE	39440	.	.	437.445	1k2 AFSK, 9k6 FSK	.	latest report	details	YES	
MCubed-2	ACTIVE	90710	.	.	437.485	9k6 FSK	NOCALL	latest report	details	YES	
